OpenSpiel: A Framework for Reinforcement Learning in Games,"Marc Lanctot, Edward Lockhart, Jean-Baptiste Lespiau, Vinicius Zambaldi, Satyaki Upadhyay, Julien Pérolat, Sriram Srinivasan, Finbarr Timbers, Karl Tuyls, Shayegan Omidshafiei, Daniel Hennes, Dustin Morrill, Paul Muller, Timo Ewalds, Ryan Faulkner, János Kramár, Bart De Vylder, Brennan Saeta, James Bradbury, David Ding, Sebastian Borgeaud, Matthew Lai, Julian Schrittwieser, Thomas Anthony, Edward Hughes, Ivo Danihelka, Jonah Ryan-Davis",https://arxiv.org/abs/1908.09453,70,,,,,,,,,,,,,,,
"A Review of Safe Reinforcement Learning: Methods, Theories and Applications","Shangding Gu, Long Yang, Yali Du, Guang Chen, Florian Walter, Jun Wang, Alois Knoll",https://arxiv.org/abs/2205.10330,71,,,,,,,,,,,,,,,
Autonomous Driving with Deep Reinforcement Learning in CARLA Simulation,Jumman Hossain,https://arxiv.org/pdf/2306.11217 (link),72,,,,,,,,,,,,,,,
Reinforcement Learning for Non-Stationary Markov Decision Processes: The Blessing of (More) Optimism,"Wang Chi Cheung, David Simchi-Levi, Ruihao Zhu",https://proceedings.mlr.press/v119/cheung20a/cheung20a.pdf,73,,,,,,,,,,,,,,,
Μέθοδοί βαθιάς ενισχυτικής μάθησης στο βιντεοπαιχνίδι Supermario Bros,Ιωάννης Βονδικάκης,https://dspace.lib.ntua.gr/xmlui/handle/123456789/56169,74,,,,,,,,,,,,,,,
Μια Εισαγωγή στην Ενισχυτική Μάθηση,Βασίλειος Καπετανάκης,https://pergamos.lib.uoa.gr/uoa/dl/object/2947830,75,,,,,,,,,,,,,,,
google-deepmind/open_spiel (GitHub Repository),Marc Lanctot (και άλλοι συνεισφέροντες της Google DeepMind),https://github.com/google-deepmind/open_spiel,70,,,,,,,,,,,,,,,
Safe Reinforcement Learning Baselines (GitHub Repository),Shangding Gu (chauncygu),https://github.com/chauncygu/Safe-Reinforcement-Learning-Baselines,71,,,,,,,,,,,,,,,
Βελτιστοποίηση Αναπλήρωσης Αποθεμάτων με Ενισχυτική Μάθηση (Reinforcement Learning): Ανάπτυξη και Αξιολόγηση Περιβάλλοντος Προσομοίωσης,Δεν αναφέρεται στην πηγή,https://dione.lib.unipi.gr/xmlui/handle/unipi/18434,76,,,,,,,,,,,,,,,
Δημιουργία αλγορίθμου για αυτόματη αγοραπωλησία μετοχών μέσα στην ημέρα για το δείκτη S&P 500,Δεν αναφέρεται στην πηγή,https://apothesis.eap.gr/archive/item/222417?lang=en,76,,,,,,,,,,,,,,,
Κατευθυνόμενη αναζήτηση του χώρου πολιτικών στην ενισχυτική μάθηση,Δεν αναφέρεται στην πηγή,https://dias.library.tuc.gr/entities/publication/a15c5d3f-0d37-45f1-80f5-541c3ed39ba2,76,,,,,,,,,,,,,,,
Τεχνικές Ενισχυτικής Μάθησης σε Πολυπρακτορικά Συστήματα,Γεώργιος Ι. Μπουλούγαρης,http://p-comp.di.uoa.gr/resources/boulougaris_Msc_Agents_QLearning.pdf,"76, 77",,,,,,,,,,,,,,,
Μια Εισαγωγή στην Ενισχυτική Μάθηση,Δεν αναφέρεται στην πηγή,https://pergamos.lib.uoa.gr/uoa/dl/object/2947830/file.pdf,76,,,,,,,,,,,,,,,
Πολυπρακτορική ενισχυτική μάθηση με μοντέλα διάχυσης,Δεν αναφέρεται στην πηγή,https://msc-ai.iit.demokritos.gr/el/theses?page=1,76,,,,,,,,,,,,,,,
Επεξηγήσιμη ενισχυτική μάθηση χρησιμοποιώντας ερμηνεύσιμα μοντέλα,Δεν αναφέρεται στην πηγή,https://msc-ai.iit.demokritos.gr/el/theses?page=1,76,,,,,,,,,,,,,,,
ΠΛΗ 412 / ΠΛΗ 513 – Αυτόνομοι Πράκτορες – Διαλέξεις,Μιχαήλ Γ. Λαγουδάκης,https://www.eclass.tuc.gr/modules/document/file.php/HMMY189/%CE%94%CE%B9%CE%B1%CE%BB%CE%AD%CE%BE%CE%B5%CE%B9%CF%82%202021/robots2021w-lectures-8up.pdf,76,,,,,,,,,,,,,,,
Learning to Recover for Safe Reinforcement Learning,"Haoyu Wang, Xin Yuan, Qinqing Ren",https://arxiv.org/pdf/2309.11907,78,,,,,,,,,,,,,,,
Realizable Continuous-Space Shields for Safe Reinforcement Learning,"Kyungmin Kim, Davide Corsi, Andoni Rodríguez, JB Lanier, Benjami Parellada, Pierre Baldi, César Sánchez, Roy Fox",https://arxiv.org/pdf/2410.02038,79,,,,,,,,,,,,,,,
Συστήματα συστάσεων με χρήση βαθιάς ενισχυτικής μάθησης,"Στεργίου, Βασίλειος Α.",https://ir.lib.uth.gr/xmlui/handle/11615/59396,80,,,,,,,,,,,,,,,
OpenSpiel: A Framework for Reinforcement Learning in Games,"Marc Lanctot, Edward Lockhart, Jean-Baptiste Lespiau, Vinicius Zambaldi, Satyaki Upadhyay, Julien Pérolat, Sriram Srinivasan, Finbarr Timbers, Karl Tuyls, Shayegan Omidshafiei, Daniel Hennes, Dustin Morrill, Paul Muller, Timo Ewalds, Ryan Faulkner, János Kramár, Bart De Vylder, Brennan Saeta, James Bradbury, David Ding, Sebastian Borgeaud, Matthew Lai, Julian Schrittwieser, Thomas Anthony, Edward Hughes, Ivo Danihelka, Jonah Ryan-Davis",arXiv:1908.09453,81,,,,,,,,,,,,,,,
google-deepmind/open_spiel (GitHub Repository),DeepMind (Marc Lanctot et al.),GitHub,81,,,,,,,,,,,,,,,
Safe Reinforcement Learning in Simulated Environment of Self-Driving Laboratory,"Chernov A.V., Savvas I.K., Butakova M.A., Kartashov O.O.",DOI: 10.1145/3501774.3501786,82,,,,,,,,,,,,,,,
Constrained Policy Optimization (CPO),"Joshua Achiam, David Held, Aviv Tamar, Pieter Abbeel",PMLR 70:22-31,83,,,,,,,,,,,,,,,
"Active Learning for Autonomous Intelligent Agents: Exploration, Curiosity, and Interaction","Manuel Lopes, Luis Montesano",arXiv:1403.1497,84,,,,,,,,,,,,,,,
Safety in Reinforcement Learning by Leveraging Offline Data (YouTube Talk),Sergey Levine,AI Agent Frontier Channel,85,,,,,,,,,,,,,,,
Optimizing deep neural networks for deployment on reconfigurable architectures using reinforcement learning (Διπλωματική Εργασία),"Πανάγου, Ιωάννα-Μαρία Κ.",URI: http://hdl.handle.net/11615/84454,86,,,,,,,,,,,,,,,
"Safe, Multi-Agent, Reinforcement Learning for Autonomous Driving","Shai Shalev-Shwartz, Shaked Shammah, Amnon Shashua",arXiv:1610.03295,83,,,,,,,,,,,,,,,
PEBL (Code Repository),J. Smit,https://github.com/j0rd1smit/PEBL,87,,,,,,,,,,,,,,,
Stanford Seminar - Continual Safety Assurances for Learning-Enabled Robotic Systems,Stanford Online (D. Sadigh),YouTube,88,,,,,,,,,,,,,,,
Benchmarking Batch Deep Reinforcement Learning Algorithms,"Scott Fujimoto, Edoardo Conti, Mohammad Ghavamzadeh, Joelle Pineau",https://arxiv.org/pdf/1910.01708,89,,,,,,,,,,,,,,,
Πάρκινγκ Αυτόνομου Οχήματος με Χρήση Αλγορίθμων Βαθιάς Ενισχυτικής Μάθησης,Ζωή Κόρδα,https://dspace.lib.ntua.gr/xmlui/bitstream/handle/123456789/55773/Thesis_Zoi_Korda.pdf,90,,,,,,,,,,,,,,,
self-driving-cars (Code Repository),Ζωή Κόρδα (zoikorda),https://github.com/zoikorda/self-driving-cars,90,,,,,,,,,,,,,,,
Βαθιά ενισχυτική μάθηση για ανταγωνιστικά παίγνια,"Καλαφάτης, Δημήτριος Α.",http://hdl.handle.net/11615/84328,91,,,,,,,,,,,,,,,
Συμβολή στην ανάπτυξη πολυπρακτορικής αρχιτεκτονικής αναπτυξιακού ρομποτικού ελέγχου στη βάση ασαφούς ενισχυτικής μάθησης: Εφαρμογή στον επιδέξιο ρομποτικό χειρισμό,"Καρύγιαννης, Ιωάννης Ν.",https://dspace.lib.ntua.gr/xmlui/handle/123456789/7743,92,,,,,,,,,,,,,,,
POBAX: Partially Observable Benchmarks in JAX,"Tao, Ruo Yu, Guo, Kaicheng, Allen, Cameron, Konidaris, George",http://github.com/taodav/pobax,93,,,,,,,,,,,,,,,
Safe Reinforcement Learning with Dead-Ends Avoidance and Recovery,"Xiao Zhang, Hai Zhang, Hongtu Zhou, Chang Huang, Di Zhang, Chen Ye, Junqiao Zhao",https://arxiv.org/pdf/2306.13944,94,,,,,,,,,,,,,,,
Reward-Free Safe Reinforcement Learning Exploration using Different Entropy Measures,Cheuk Lam Mo,https://research.tue.nl/files/382817445/Mo_C.pdf,95,,,,,,,,,,,,,,,
Lectures on Reinforcement Learning,Tansel Yucelen,https://www.youtube.com/playlist?list=PLW4eqbV8qk8YUmaN0vIyGxUNOVqFzC2pd,96,,,,,,,,,,,,,,,
Continual Safety Assurances for Learning-Enabled Robotic Systems,Stanford Online,https://www.youtube.com/watch?v=D-ZpX8uU-pY (link),97,,,,,,,,,,,,,,,
Facing Uncertainty in AI -- From Verification to Synthesis,Joost-Pieter Katoen,98 (link),98,,,,,,,,,,,,,,,
Efficient Uncertainty Quantification in Deep Reinforcement Learning,M.A. Zanger,99,99,,,,,,,,,,,,,,,
QRES-MARL: A Resilience-Based Multi-Agent Reinforcement Learning Framework for Post-Earthquake Recovery of Interdependent Infrastructures,A. Mavrotas,100,100,,,,,,,,,,,,,,,
OpenAI Gym,"Greg Brockman, Vicki Cheung, Ludwig Pettersson, Jonas Schneider, John Schulman, Jie Tang, Wojciech Zaremba",101,101,,,,,,,,,,,,,,,
What Uncertainties Do We Need in Bayesian Deep Learning for Computer Vision?,"Alex Kendall, Yarin Gal",102,102,,,,,,,,,,,,,,,
Non-stationary Reinforcement Learning without Prior Knowledge: An Optimal Black-box Approach,"Chen-Yu Wei, Haipeng Luo",103,103,,,,,,,,,,,,,,,
sar,Stefanos Antaris,https://github.com/stefanosantaris/sar,104,,,,,,,,,,,,,,,
Assessing Generalization in Deep Reinforcement Learning,"Charles Packer, Katelyn Gao, Jernej Kos, Philipp Krähenbühl, Vladlen Koltun, Dawn Song",https://arxiv.org/pdf/1810.12282,105,,,,,,,,,,,,,,,
rl-generalization,sunblaze-ucb,http://www.github.com/sunblaze-ucb/rl-generalization,105,,,,,,,,,,,,,,,
Reinforcement Learning – Ms Pacman,Ζωή Ιωάννα Αθανασοπούλου,https://dione.lib.unipi.gr/xmlui/bitstream/handle/unipi/17121/Athanasopoulou_me2043.pdf?sequence=3&isAllowed=y,106,,,,,,,,,,,,,,,
A Verification Framework for Runtime Assurance of Autonomous UAS,"J Tanner Slagel, Lauren M. White, Aaron Dutle, César A. Muñoz, Nicolas Crespo",https://ntrs.nasa.gov/api/citations/20240007986/downloads/DASC_submit_slagel_v01.pdf,107,,,,,,,,,,,,,,,
dL_RTA,NASA,https://github.com/nasa/pvslib/tree/master/dL/dL_RTA/,107,,,,,,,,,,,,,,,
Βελτιστοποίηση αναπλήρωσης αποθεμάτων με ενισχυτική μάθηση : ανάπτυξη και αξιολόγηση περιβάλλοντος προσομοίωσης,"Χουτουρίδης, Περικλής",https://dione.lib.unipi.gr/xmlui/handle/unipi/18434,108,,,,,,,,,,,,,,,
Μηχανισμοί ενισχυτικής μάθησης και εξελικτικής υπολογιστικής για αυτόνομους πράκτορες,"Χατζηδημητρίου, Κυριάκος",http://hdl.handle.net/10442/hedi/30602,109,,,,,,,,,,,,,,,
bsuite,"Osband, Ian; Doron, Yotam; Hessel, Matteo; Aslanides, John; Sezener, Eren; Saraiva, Andre; McKinney, Katrina; Lattimore, Tor; Szepesvári, Csaba; Singh, Satinder; Van Roy, Benjamin; Sutton, Richard; Silver, David; van Hasselt, Hado",https://github.com/google-deepmind/bsuite,110,,,,,,,,,,,,,,,
QRES-MARL: A Resilience-Based Multi-Agent Reinforcement Learning Framework for Post-Earthquake Recovery of Interdependent Infrastructures,A. Mavrotas,https://resolver.tudelft.nl/uuid:16fb3161-1ec4-4c5d-923e-bce32717e25d,111,,,,,,,,,,,,,,,
Stanford CS224R Deep Reinforcement Learning,Stanford Online,https://www.youtube.com/playlist?list=PLoROMvodv4rPwxE0ONYRa_itZFdaKCylL,112,,,,,,,,,,,,,,,
A Survey of Continual Reinforcement Learning,Chaofan Pan; Xin Yang; Yanhua Li; Wei Wei; Tianrui Li; Bo An; Jiye Liang,https://arxiv.org/pdf/2506.21872,113,,,,,,,,,,,,,,,
The complexity of non-stationary reinforcement learning,Binghui Peng; Christos Papadimitriou,https://proceedings.mlr.press/v237/peng24a/peng24a.pdf,114,,,,,,,,,,,,,,,
Policy Consolidation for Continual Reinforcement Learning,Christos Kaplanis; Murray Shanahan; Claudia Clopath,https://proceedings.mlr.press/v97/kaplanis19a/kaplanis19a.pdf,115,,,,,,,,,,,,,,,
Efficient Uncertainty Quantification in Deep Reinforcement Learning,M.A. Zanger,https://doi.org/10.4233/uuid:310f94fd-d818-4c23-ba1f-bfff87ca5ec4,116,,,,,,,,,,,,,,,
safety-gym,"openai / Alex Ray, Joshua Achiam, Dario Amodei",https://github.com/openai/safety-gym,117,,,,,,,,,,,,,,,
Multi-agent reinforcement learning with diffusion models (Πολυπρακτορική ενισχυτική μάθηση με μοντέλα διάχυσης),"Tsilifonis, Aris (Τσιλιφώνης, Άρης)",https://dione.lib.unipi.gr/xmlui/handle/unipi/18088,118,,,,,,,,,,,,,,,
Towards Out-Of-Distribution Generalization: A Survey,"Jiashuo Liu, Zheyan Shen, Yue He, Xingxuan Zhang, Renzhe Xu, Han Yu, Peng Cui",https://arxiv.org/pdf/2108.13624,119,,,,,,,,,,,,,,,
Out-of-Distribution Detection for Neurosymbolic Autonomous Cyber Agents,"Ankita Samaddar, Nicholas Potteiger, Xenofon Koutsoukos",https://arxiv.org/pdf/2412.02875,120,,,,,,,,,,,,,,,
Βαθιά Ενισχυτική Μάθηση για Ανταγωνιστικά Παίγνια (Deep Reinforcement Learning for Adversarial Games),Δημήτριος Καλαφάτης (Dimitrios Kalafatis),https://ir.lib.uth.gr/xmlui/bitstream/handle/11615/84328/29734.pdf,121,,,,,,,,,,,,,,,
Safe Reinforcement Learning via Shielding,"Mohammed Alshiekh, Roderick Bloem, Rüdiger Ehlers, Bettina Könighofer, Scott Niekum, Ufuk Topcu",https://arxiv.org/abs/1708.08611,122,,,,,,,,,,,,,,,
Safe Model-based Reinforcement Learning with Stability Guarantees,LAS @ ETH Zurich,https://www.youtube.com/watch?v= LAS @ ETH Zurich(https://www.youtube.com/watch?v= LAS @ ETH Zurich) (link),123,,,,,,,,,,,,,,,
Generalized Out-of-Distribution Detection: A Survey,"Jingkang Yang, Kaiyang Zhou, Yixuan Li, Ziwei Liu",https://arxiv.org/abs/2110.11334,124,,,,,,,,,,,,,,,
On Calibration of Modern Neural Networks,"Chuan Guo, Geoff Pleiss, Yu Sun, Kilian Q. Weinberger",https://proceedings.mlr.press/v70/guo17a/guo17a.pdf,125,,,,,,,,,,,,,,,
Gymnasium Documentation - Cliff Walking,Farama Foundation,https://gymnasium.farama.org/environments/toy_text/cliff_walking/,126,,,,,,,,,,,,,,,
Make your own custom environment - Gymnasium Documentation,Farama Foundation,https://gymnasium.farama.org/tutorials/gymnasium_basics/environment_creation/,127,,,,,,,,,,,,,,,
gymnasium-env-template,Farama Foundation,https://github.com/Farama-Foundation/gymnasium-env-template.git,127,,,,,,,,,,,,,,,
Reinforcement Learning: An Introduction,"R. Sutton, A. Barto",http://www.incompleteideas.net/book/RLbook2020.pdf,126,,,,,,,,,,,,,,,
Safe RL Shielding Repository,Mohammed Alshiekh et al.,https://github.com/safe-rl/safe-rl-shielding,122,,,,,,,,,,,,,,,
Gridworld Example (Lectures on Reinforcement Learning),Tansel Yucelen,https://www.youtube.com/watch?v=S-tYfO0WkMc (link),128,,,,,,,,,,,,,,,
Safe Model-based Reinforcement Learning with Stability Guarantees (NIPS 2017 Spotlight),LAS @ ETH Zurich,https://www.youtube.com/watch?v=8l-688m9Z0o (link),129,,,,,,,,,,,,,,,
Robust Decision Making Without Compromising Learning Efficiency,Lishi Li,https://www.youtube.com/watch?v=Gk743YQf0Xk (link),130,,,,,,,,,,,,,,,
OpenSpiel: A Framework for Reinforcement Learning in Games,"Marc Lanctot, Edward Lockhart, Jean-Baptiste Lespiau, Vinicius Zambaldi, et al.",https://arxiv.org/pdf/1908.09453,131,,,,,,,,,,,,,,,
A Survey of Multi-Agent Deep Reinforcement Learning with Communication,"Changxi Zhu, Mehdi Dastani, Shihan Wang",https://arxiv.org/pdf/2203.08975,132,,,,,,,,,,,,,,,
Βαθιά ενισχυτική μάθηση για σχηματισμό επικαλυπτόμενων συνασπισμών,Κορέσης Γεράσιμος,https://dias.library.tuc.gr/view/98296,133,,,,,,,,,,,,,,,
The Adversarial Multi-Agent Reinforcement Learning Benchmark (AMB),BUAA-TrustworthyMARL,GitHub - BUAA-TrustworthyMARL/adv_marl_benchmark,134,,,,,,,,,,,,,,,
Gridworld Example (Lectures on Reinforcement Learning),Tansel Yucelen,YouTube Video,135,,,,,,,,,,,,,,,
Gridworld Runtime Example Code,Tansel Yucelen,TinyURL Code Link,135,,,,,,,,,,,,,,,
Model Free Reinforcement Learning with Stability Guarantee,Yuan Tian,TU Delft Repository,136,,,,,,,,,,,,,,,
Guarantee Learning Control Code,Yuan Tian,GitHub - RLControlTheoreticGuarantee,136,,,,,,,,,,,,,,,
Safe Learning in Robotics: From Learning-Based Control to Safe Reinforcement Learning,"Lukas Brunke, Melissa Greeff, Adam W. Hall, Zhaocong Yuan, Siqi Zhou, Jacopo Panerati, Angela P. Schoellig",arXiv:2108.06266,137,,,,,,,,,,,,,,,
Safe Control Gym,utiasDSL,GitHub - safe-control-gym,137,,,,,,,,,,,,,,,
Reinforcement Learning by Guided Safe Exploration,"Qisong Yang, Thiago D. Simão, Nils Jansen, Simon H. Tindemans, Matthijs T. J. Spaan",arXiv:2307.14316,138,,,,,,,,,,,,,,,
Πολυπρακτορική ενισχυτική μάθηση με μοντέλα διάχυσης,Άρης Τσιλιφώνης,UniPi Dione Repository,139,,,,,,,,,,,,,,,
Robust Reinforcement Learning Suite (RRLS),"Adil Zouitine, David Bertoin, Emmanuel Rachelson, Pierre Clavier",https://github.com/SuReLI/RRLS,140,,,,,,,,,,,,,,,
A Survey on Deep Reinforcement Learning-based Approaches for Adaptation and Generalization,"Pamul Yadav, Ashutosh Mishra, Junyong Lee, Shiho Kim",https://arxiv.org/pdf/2202.08444,141,,,,,,,,,,,,,,,
Partially Observable Markov Decision Processes in Robotics: A Survey,"Mikko Lauri, David Hsu, Joni Pajarinen",https://arxiv.org/pdf/2209.10342,142,,,,,,,,,,,,,,,
Safe Continual Reinforcement Learning Methods for Nonstationary Environments,Timofey Tomashevskiy,https://arxiv.org/pdf/2601.05152,143,,,,,,,,,,,,,,,
OmniSafe: An Infrastructure for Accelerating Safe Reinforcement Learning Research,"Jiaming Ji, Jiayi Zhou, Borong Zhang, Juntao Dai, Xuehai Pan, Ruiyang Sun, Weidong Huang, Yiran Geng, Mickel Liu, Yaodong Yang",https://github.com/PKU-Alignment/omnisafe,144,,,,,,,,,,,,,,,
Sequence adaptation via reinforcement learning in recommender systems,"Antaris S., Rafailidis D.",https://github.com/stefanosantaris/sar,145,,,,,,,,,,,,,,,
Intention-aware online POMDP planning for autonomous driving in a crowd,"H. Bai, S. Cai, N. Ye, D. Hsu, W. S. Lee",Δεν αναφέρεται (link),142,,,,,,,,,,,,,,,
Dense reinforcement learning for safety validation of autonomous vehicles,"Shuo Feng, Haowei Sun, Xintao Yan, Haojie Zhu, Zhengxia Zou, Shengyin Shen, Henry X Liu",Δεν αναφέρεται (link),144,,,,,,,,,,,,,,,
Robust Gymnasium: A Unified Modular Benchmark for Robust Reinforcement Learning,"Shangding Gu, Laixi Shi, Muning Wen, Ming Jin, Eric Mazumdar, Yuejie Chi, Adam Wierman, Costas Spanos","Paper, Code",146,,,,,,,,,,,,,,,
Safe reinforcement learning for real robots,"Valdivia, Juan Pablo",Master's Thesis,147,,,,,,,,,,,,,,,
"Towards robust, efficient, and safe reinforcement learning (YouTube Seminar)",Sushi (PhD student at CMU),YouTube Video,148,,,,,,,,,,,,,,,
Towards Deep Learning Models Resistant to Adversarial Attacks,"Aleksander Mądry, Aleksandar Makelov, Ludwig Schmidt, Dimitris Tsipras, Adrian Vladu","arXiv, Code",149,,,,,,,,,,,,,,,
A Comprehensive Survey on Safe Reinforcement Learning,"Javier García, Fernando Fernández",Full Survey,150,,,,,,,,,,,,,,,
Δημιουργία αλγορίθμου για αυτόματη αγοραπωλησία μετοχών μέσα στην ημέρα για το δείκτη S&P 500,ΛΕΑΝΔΡΟΣ ΚΑΪΠΗΣ,B.Sc. Thesis,151,,,,,,,,,,,,,,,
Deep Reinforcement Learning amidst Continual Structured Non-Stationarity,"Annie Xie, James Harrison, Chelsea Finn",https://proceedings.mlr.press/v139/xie21c/xie21c.pdf,152,,,,,,,,,,,,,,,
Minigrid & Miniworld: Modular & Customizable Reinforcement Learning Environments for Goal-Oriented Tasks,"Maxime Chevalier-Boisvert, Bolun Dai, Mark Towers, Rodrigo Perez-Vicente, Lucas Willems, Salem Lahlou, Suman Pal, Pablo Samuel Castro, Jordan Terry",https://github.com/Farama-Foundation/Minigrid,153,,,,,,,,,,,,,,,
Fast and Efficient Creation of an Universal Quantum Gate Set Using Reinforcement Learning Methods,Pablo Darío Conte,https://github.com/contepablod/Quantum_Control_Reinforcement_Learning,154,,,,,,,,,,,,,,,
AI Safety Gridworlds,"Jan Leike, Miljan Martic, Victoria Krakovna, Pedro A. Ortega, Tom Everitt, Andrew Lefrancq, Laurent Orseau, Shane Legg",https://arxiv.org/pdf/1711.09883,155,,,,,,,,,,,,,,,
Robust Markov Decision Processes without Model Estimation,"Wenhao Yang, Han Wang, Tadashi Kozuno, Scott M. Jordan, Zhihua Zhang",https://arxiv.org/pdf/2302.01248,156,,,,,,,,,,,,,,,
Πλοήγηση Πολλαπλών μίνι-ρόμποτ με χρήση reinforcement learning,Piyabhum Chaysri,https://olympias.lib.uoi.gr/jspui/handle/123456789/29167,157,,,,,,,,,,,,,,,
Neuro-Symbolic Techniques for Safe and Robust AI,"Nikos Katzouris, Elias Alevizos",https://www.iit.demokritos.gr/dissertations/neuro-symbolic-techniques-for-safe-and-robust-ai/,158,,,,,,,,,,,,,,,
Gymnasium Documentation,Farama Foundation,https://gymnasium.farama.org/,159,,,,,,,,,,,,,,,
IROS 2022 Keynote: Safe Learning in Robotics,Prof. Angela Schoellig,safe-robotlearning.org,160,,,,,,,,,,,,,,,
Deep reinforcement learning in non-stationary environments,"Liu, Zihe",http://hdl.handle.net/10453/186408,161,,,,,,,,,,,,,,,
Unity: A General Platform for Intelligent Agents,"Arthur Juliani, Vincent-Pierre Berges, Ervin Teng, Andrew Cohen, Jonathan Harper, Chris Elion, Chris Goy, Yuan Gao, Hunter Henry, Marwan Mattar, Danny Lange",https://github.com/Unity-Technologies/ml-agents,162,,,,,,,,,,,,,,,
A Survey of Safe Reinforcement Learning and Constrained MDPs,"Ankita Kushwaha, Kiran Ravish, Preeti Lamba, Pawan Kumar, Anuj Mahajan",arXiv:2505.17342 (link),163,,,,,,,,,,,,,,,
Shields for Safe Reinforcement Learning,"Bettina Koenighofer, Roderick Bloem, Nils Jansen, Sebastian Junges, Stefan Pranger",https://pure.tugraz.at/ws/portalfiles/portal/93576031/Shields_for_Safe_Reinforcement_Learning.pdf,164,,,,,,,,,,,,,,,
A Safe Reinforcement Learning Approach for Energy Efficient Federated Learning in Wireless Communication Networks,Petropouleas Nikolaos,https://pergamos.lib.uoa.gr/uoa/dl/object/3338320,165,,,,,,,,,,,,,,,
Procgen Benchmark: Procedurally-Generated Game-Like Gym-Environments,"Cobbe, Karl; Hesse, Christopher; Hilton, Jacob; Schulman, John",https://github.com/openai/procgen,166,,,,,,,,,,,,,,,
Reinforcement Learning with Numpy ONLY: Solving an Arbitrary 2D Grid World!,Kamila Zdybał,https://www.youtube.com/watch?v=A5_T_XhS6_Y (link),167,,,,,,,,,,,,,,,
CARLA: An Open Urban Driving Simulator,"Dosovitskiy, Alexey; Ros, German; Codevilla, Felipe; López, Antonio; Koltun, Vladlen",https://arxiv.org/pdf/1711.03938,168,,,,,,,,,,,,,,,
Safe Exploration in Reinforcement Learning: A Generalized Formulation and Algorithms,"Wachi, Akifumi; Hashimoto, Wataru; Shen, Xun; Hashimoto, Kazumune",https://arxiv.org/pdf/2310.03225,169,,,,,,,,,,,,,,,
Non-stationary Reinforcement Learning under General Function Approximation,"Feng, Songtao; Yin, Ming; Huang, Ruiquan; Wang, Yu-Xiang; Yang, Jing; Liang, Yingbin",https://proceedings.mlr.press/v202/feng23e/feng23e.pdf,170,,,,,,,,,,,,,,,
Ενισχυτική μάθηση: θεωρία και εφαρμογές στα υπολογιστικά χρηματοοικονομικά και την επεξεργασία φυσικής γλώσσας,"Σαλής, Χαράλαμπος",https://pyxida.aueb.gr/handle/123456789/1745,171,,,,,,,,,,,,,,,
On the Robustness of Safe Reinforcement Learning under Observational Perturbations,"Liu, Zuxin; Guo, Zijian; Cen, Zhepeng; Zhang, Huan; Tan, Jie; Li, Bo; Zhao, Ding",https://arxiv.org/abs/2205.14691,172,,,,,,,,,,,,,,,
safe-rl-robustness (GitHub Repository),liuzuxin; Zijian Guo,https://github.com/liuzuxin/safe-rl-robustness,172,,,,,,,,,,,,,,,
OFFLINE REINFORCEMENT LEARNING (Διπλωματική Εργασία),VASILOPOULOS VASILEIOS,https://ir.lib.uth.gr/xmlui/bitstream/handle/11615/55221/22410.pdf,173,,,,,,,,,,,,,,,
A Survey of Constraint Formulations in Safe Reinforcement Learning,Akifumi Wachi; Xun Shen; Yanan Sui,https://www.ijcai.org/proceedings/2024/0913.pdf,174,,,,,,,,,,,,,,,
Εγγενώς Ερμηνεύσιμη Q-Μάθηση (Διπλωματική Εργασία),Ιωάννης Κουμέντης,https://dione.lib.unipi.gr/xmlui/handle/unipi/14867,175,,,,,,,,,,,,,,,
Open-World Learning for Radically Autonomous Agents,Pat Langley,https://ojs.aaai.org/index.php/AAAI/article/download/7078/6932,176,,,,,,,,,,,,,,,
Procedural Content Generation via Machine Learning (PCGML),Adam Summerville; Sam Snodgrass; Matthew Guzdial; Christoffer Holmgård; Amy K. Hoover; Aaron Isaksen; Andy Nealen; Julian Togelius,https://arxiv.org/pdf/1702.00539,177,,,,,,,,,,,,,,,
Diffusion models in offline reinforcement learning (Διπλωματική Εργασία),Χρήστος Κυριαζόπουλος,https://dione.lib.unipi.gr/xmlui/handle/unipi/14867,175,,,,,,,,,,,,,,,
Ερμηνεύσιμη βαθιά ενισχυτική μάθηση με ταυτόχρονη μίμηση (Διπλωματική Εργασία),Νικόλαος Μακρής,https://dione.lib.unipi.gr/xmlui/handle/unipi/14867,175,,,,,,,,,,,,,,,
Πρωτόκολλα Consensus για πράκτορες με άγνωστες κατευθύνσεις ελέγχου: η περίπτωση της διατήρησης συνοχής με αποφυγή συγκρούσεων (Διπλωματική Εργασία),"Γεωργίου, Ευθύμιος",https://dspace.lib.ntua.gr/xmlui/handle/123456789/47733,178,,,,,,,,,,,,,,,
AI Safety as a Reinforcement Learning Problem,"Mont (PhD, Amii Team), Marlos C. Machado (Host), Reggie, James, James James, Alyssa, Kevin",https://www.youtube.com/watch?v=AI_Safety_Amii (link),179,,,,,,,,,,,,,,,
Minigrid: Simple and easily configurable grid world environments for reinforcement learning,"Maxime Chevalier-Boisvert, Bolun Dai, Mark Towers, Rodrigo Perez-Vicente, Lucas Willems, Salem Lahlou, Suman Pal, Pablo Samuel Castro, Jordan Terry",https://github.com/Farama-Foundation/Minigrid,180,,,,,,,,,,,,,,,
