Όνομα Πηγής,Συγγραφέας/είς,Σύνδεσμος,Πηγή,,
A Practical Deep Dive Into Memory Optimization for Agentic Systems (Part A),Daily Dose of Data Science,https://www.dailydoseofds.com/ai-agents-crash-course-part-15-with-implementation/,67,,
How to Master AI Agents in 2025 (Full Guide),Varun Mayya,https://www.youtube.com/watch?v=VarunMayya (link),68,,
CARL: A Benchmark for Contextual and Adaptive Reinforcement Learning,"Carolin Benjamins, Theresa Eimer, Frederik Schubert, André Biedenkapp, Bodo Rosenhahn, Frank Hutter, Marius Lindauer",https://arxiv.org/pdf/2110.02102,69,,
70 Belief–desire–intention software model - Wikipedia,Συνεισφέροντες της Wikipedia,https://en.wikipedia.org/wiki/Belief–desire–intention_software_model,70,,
71 [Gemini Enterprise Agent Platform (formerly Vertex AI) \,Google Cloud](https://cloud.google.com/products/gemini-enterprise-agent-platform),Google Cloud,https://cloud.google.com/products/gemini-enterprise-agent-platform,71,
72 Robust Policy Learning over Multiple Uncertainty Sets,"Annie Xie, Shagun Sodhani, Chelsea Finn, Joelle Pineau, Amy Zhang",https://proceedings.mlr.press/v162/xie22c/xie22c.pdf,72,,
Approximate Bilevel Difference Convex Programming for Bayesian Risk Markov Decision Processes,"Yifan Lin, Enlu Zhou","ylin429@gatech.edu, enlu.zhou@isye.gatech.edu",73,,
Train Reinforcement Learning Agent in Basic Grid World,MathWorks,https://www.mathworks.com/help/reinforcement-learning/ug/train-q-learning-agent-to-solve-basic-grid-world.html,74,,
Bounded Robustness in Reinforcement Learning via Lexicographic Objectives,"Daniel Jarne Ornia, Licio Romao, Lewis Hammond, Manuel Mazo Jr., Alessandro Abate",https://arxiv.org/pdf/2209.15320,75,,
"Building safe artificial intelligence: specification, robustness, and assurance","Pedro A. Ortega, Vishal Maini, and the DeepMind safety team",https://deepmindsafetyresearch.medium.com/building-safe-artificial-intelligence-specification-robustness-and-assurance-52f5f75058f1,76,,
Avoiding Catastrophic Forgetting in Safety Gridworld ECE 517: Reinforcement Learning Final Project Report,"Carl Edwards, Brandon Mathis",https://cnedwards.com/files/Final_Project_Report_Edwards_Mathis.pdf,77,,
Agentic AI: An Executive's Guide to In-depth Understanding of Agentic AI,"Aditya Vempaty, Prasenjit Dey, Kartik Vyas, Tejaswini Padole, Ambar Gosavi",https://konverge.ai/pdf/Ebook-Agentic-AI.pdf,78,,
AI Safety Gridworlds,Leike et al.,https://arxiv.org/abs/1711.09883,"76, 77",,
Concrete Problems in AI Safety,Dario Amodei et al.,https://arxiv.org/pdf/1606.06565.pdf,76,,
Overcoming catastrophic forgetting in neural networks,J. Kirkpatrick et al.,https://www.pnas.org/doi/10.1073/pnas.1611835114,77,,
Human-level control through deep reinforcement learning,V. Mnih et al.,https://www.nature.com/articles/nature14236,77,,
Adam: A Method for Stochastic Optimization,"D. P. Kingma, J. Ba",https://arxiv.org/abs/1412.6980,77,,
A survey of research questions for robust and beneficial AI,Future of Life Institute,Όχι στην πηγή,76,,
AIC: Facing Uncertainty in AI -- From Verification to Synthesis,Joost-Pieter Katoen,https://www.youtube.com/watch?v=S08jQ_nI7nE (link),79,,
Gridworld Example (Lectures on Reinforcement Learning),Tansel Yucelen,https://www.youtube.com/watch?v=333rFk0X6Z0 (link),80,,
Safe Model-based Reinforcement Learning with Stability Guarantees,"Felix Berkenkamp, Matteo Turchetta, Angela P. Schoellig, Andreas Krause",https://papers.nips.cc/paper/6692-safe-model-based-reinforcement-learning-with-stability-guarantees.pdf,81,,
Online Robust Reinforcement Learning Through Monte-Carlo Planning,"Tuan Dam, Kishan Panaganti, Brahim Driss, Adam Wierman",ICML Poster,82,,
Model-Free and Model-Based Policy Evaluation when Causality is Uncertain,David Bruns-Smith,PMLR (link),83,,
Policy Gradient Algorithms for Robust MDPs with Nonrectangular Uncertainty Sets,"Mengmeng Li, Daniel Kuhn, Tobias Sutter",SIAM DOI,84,,
Build Everything with AI Agents: Here's How,David Ondrej,https://www.youtube.com/watch?v=n8n_io (link),85,,
Building AI Agents In 44 Minutes,Tina Huang,https://www.youtube.com/watch?v=tina_huang (link),86,,
Feasible Adversarial Robust Reinforcement Learning for Underspecified Environments,Lanier et al.,https://indylab.org/pub/pdf/Lanier2022FARR.pdf,"85, 87",,
Ensuring Safety in Online Reinforcement Learning by Leveraging Offline Data,Sergey Levine,https://www.youtube.com/watch?v=R9K1uXv1_lA (link),88,,
How AI Makes Decisions Under Uncertainty,Muntazir Abidi,https://www.youtube.com/watch?v=D-w-w7Y8uU0 (link),89,,
Stanford Seminar - Continual Safety Assurances for Learning-Enabled Robotic Systems,Somil Bansal,https://www.youtube.com/watch?v=S01Z-vO6p_I (link),90,,
5 simple AI Agents you must have - beginners guide,David Ondrej,https://www.youtube.com/watch?v=dQw4w9WgXcQ (link),91,,
Feasible Adversarial Robust Reinforcement Learning for Underspecified Environments,"JB Lanier, Stephen McAleer, Pierre Baldi, Roy Fox",Δεν υπάρχει στην πηγή,92,,
Humans as Safety Constraints: A Survey of Human-in-the-Loop Reinforcement Learning for Critical Systems,Kenneth Besigomwe,https://doi.org/10.5281/zenodo.18354867,93,,
FEASIBLE ADVERSARIAL ROBUST REINFORCEMENT LEARNING FOR UNDERSPECIFIED ENVIRONMENTS,"JB Lanier, Stephen McAleer, Pierre Baldi, Roy Fox",https://arxiv.org/pdf/2205.15450 (link),94,,
Online Robust Planning under Model Uncertainty: A Sample-Based Approach,"Tamir Shazman, Idan Lev-Yehudi, Ron Benchetrit, Vadim Indelman",https://arxiv.org/pdf/2509.10162,95,,
"Artificial intelligence, algorithmic pricing, and collusion","Emilio Calvano, Giacomo Calzolari, Vincenzo Denicolò, and Sergio Pastorello",Not in source,1,,
A reinforcement learning approach for hotel revenue management with evidence from field experiments,"Ji Chen, Yifan Xu, Peiwen Yu, and Jun Zhang",Not in source,1,,
Ride-hailing order dispatching at DiDi via reinforcement learning,"Zhiwei Qin, Xiaocheng Tang, Yan Jiao, Fan Zhang, Zhe Xu, Hongtu Zhu, and Jieping Ye",Not in source,1,,
The AI economist: Taxation policy design via two-level deep multiagent reinforcement learning,"Stephan Zheng, Alexander Trott, Sunil Srinivasa, David C. Parkes, and Richard Socher",Not in source,1,,
Direct preference optimization: Your language model is secretly a reward model,"Rafael Rafailov, Archit Sharma, Eric Mitchell, Stefano Ermon, Christopher D. Manning, and Chelsea Finn",Not in source,1,,
Mastering the game of go without human knowledge,"David Silver, Julian Schrittwieser, Karen Simonyan, Ioannis Antonoglou, Aja Huang, Arthur Guez, Thomas Hubert, Lucas Baker, Matthew Lai, Adrian Bolton, Yutian Chen, Timothy Lillicrap, Fan Hui, Laurent Sifre, George van den Driessche, Thore Graepel, and Demis Hassabis",Not in source,1,,
Metareasoning for Interleaved Planning and Execution,"Amihay Elboher, Shahaf Shperberg, Solomon Eyal Shimony, Wheeler Ruml",Not in source,4,,
"Integrating Planning, Execution and Monitoring in the presence of Open World Novelties: Case Study of an Open World Monopoly Solver","Sriram Gopalakrishnan, Utkarsh Soni, Tung Thai, Panagiotis Lymperopoulos, Matthias Scheutz, Subbarao Kambhampati",Not in source,4,,
When to Commit to an Action in Online Planning,"Tianyi Gu, Shahaf Shperberg, Wheeler Ruml, Solomon Eyal Shimony, Erez Karpas",Not in source,4,,
Lila: Optimal Dispatching in Probabilistic Temporal Networks using Monte Carlo Tree Search,"Michael Saint-Guillain, Tiago Vaquero, Steve Chien",Not in source,4,,
"Analyzing the Efficacy of Flexible Execution, Replanning, and Plan Optimization for a Planetary Lander","Daniel Wang, Joseph Russino, Connor Basich, Steve Chien",Not in source,4,,
Correlated proxies: a new definition and improved mitigation for reward hacking,"C. Laidlaw, S. Singhal, and A. Dragan",Not in source,5,,
The effects of reward misspecification: mapping and mitigating misaligned models,"A. Pan, K. Bhatia, and J. Steinhardt",Not in source,5,,
Deep reinforcement learning for closed-loop blood glucose control,"I. Fox, J. Lee, R. Pop-Busui, and J. Wiens",Not in source,5,,
The 100-Page Machine Learning Book,Andriy Burkov,Not in source,6,,
GitHub Repository for Workshop Code,"Jon Krohn, Ed",Not in source,6,,
Deep Q Learning with Tensorflow - Space Invaders & Breakout,Phil Tabor,Not in source,8,,
Deep Q Network in PyTorch - Space Invaders,Phil Tabor,Not in source,8,,
Policy Gradient Methods - REINFORCE Algorithm,Phil Tabor,Not in source,8,,
Lunar Lander with Policy Gradient Methods in Tensorflow,Phil Tabor,Not in source,8,,
Space Invaders with Policy Gradient Methods in Tensorflow,Phil Tabor,Not in source,8,,
Creating your own Reinforcement Learning Environment - Grid World,Phil Tabor,Not in source,8,,
Q-Learning Agent for Custom Grid World Environment,Phil Tabor,Not in source,8,,
Essentials of Reinforcement Learning - The What and How,Phil Tabor,Not in source,8,,
Markov Decision Processes (MDP) - Module 2,Phil Tabor,Not in source,8,,
Explore Exploit Dilemma - Module 3,Phil Tabor,Not in source,8,,
SARSA Algorithm in OpenAI Gym Cartpole,Phil Tabor,Not in source,8,,
Double Q-Learning in OpenAI Gym Cartpole,Phil Tabor,Not in source,8,,
Conclusion and Advanced Reinforcement Learning Topics,Phil Tabor,Not in source,8,,
Solving uncertain markov decision processes,"J Andrew Bagnell, Andrew Y Ng, and Jeff G Schneider",Not in source,10,,
Attention-Based Recurrence for Multi-Agent Reinforcement Learning under Stochastic Partial Observability,"Thomy Phan, Fabian Ritz, Philipp Altmann, Maximilian Zorn, Jonas Nüßlein, Michael Kölle, Thomas Gabor, Claudia Linnhoff-Popien",Not in source,12,,
Model-free and model-based policy evaluation when causality is uncertain,D. A. Bruns-Smith,Not in source,19,,
Confounding-robust policy evaluation in infinite-horizon reinforcement learning,"N. Kallus, A. Zhou",Not in source,19,,
Learning mixtures of markov chains and mdps,"C. Kausik, K. Tan, A. Tewari",Not in source,19,,
Counterfactual offpolicy evaluation with gumbel-max structural causal models,"M. Oberst, D. Sontag",Not in source,19,,
Asymptotically efficient off-policy evaluation for tabular reinforcement learning,"M. Yin, Y. Wang",Not in source,19,,
Statistically efficient off-policy policy gradients,"N. Kallus, M. Uehara",Not in source,19,,
Off-policy evaluation in infinite-horizon reinforcement learning with latent confounders,"A. Bennett, N. Kallus, L. Li, A. Mousavi",Not in source,19,,
Robust fitted-q-evaluation and iteration under sequentially exogenous unobserved confounders,"D. Bruns-Smith, A. Zhou",Not in source,19,,
Off-policy actor-critic,"T. Degris, M. White, R. S. Sutton",Not in source,19,,
Minimax-optimal offpolicy evaluation with linear function approximation,"Y. Duan, M. Wang",Not in source,19,,
Online Policy Optimization for Robust MDP - OpenReview,Not in source,https://openreview.net/forum?id=cYZupNY8DS4&noteId=5ejRmc1GQ6,96,,
Robust Reinforcement Learning using Adversarial Populations - OpenReview,Not in source,https://openreview.net/forum?id=I6NRcao1w-X,97,,
State Entropy Regularization for Robust Reinforcement Learning,"Yonatan Ashlag, Uri Koren, Mirco Mutti, Esther Derman, Pierre-Luc Bacon, Shie Mannor",Not in source,98,,
Provably efficient maximum entropy exploration,"Elad Hazan, Sham M. Kakade, Karan Singh, Abby Van Soest",Not in source,98,,
Learning safe policies with expert guidance,"Jessie Huang, Fa Wu, Doina Precup, Yang Cai",Not in source,99,,
Online Policy Optimization for Robust Markov Decision Process,Not in source,https://raw.githubusercontent.com/mlresearch/v244/main/assets/dong24a/dong24a.pdf,"85, 87",,
Rectified Robust Policy Optimization for Model-Uncertain Constrained Reinforcement Learning without Strong Duality,Not in source,https://arxiv.org/pdf/2508.17448,"85, 87",,
Robust Optimization for Mitigating Reward Hacking with Correlated Proxies,Not in source,https://arxiv.org/html/2604.12086v1,"85, 87",,
Reward-Preserving Attacks For Robust Reinforcement Learning,Not in source,https://arxiv.org/pdf/2601.07118,"85, 87",,
Making sure you're not a bot!,Not in source,https://en.wikipedia.org/wiki/Proof_of_work,100,,
Pessimistic Iterative Planning for Robust POMDPs - OpenReview,Not in source,https://openreview.net/pdf?id=tQMBxQZblv,101,,
Solving robust MDPs as a sequence of static RL problems - OpenReview,Not in source,https://openreview.net/forum?id=Zi1QNJKXAD,102,,
Σύγκριση και Αξιολόγηση Ανθεκτικών Πρακτόρων Τεχνητής Νοημοσύνης σε Περιβάλλοντα με Αβεβαιότητα με χρήση GridWorld,Not in source,Not in source,87,,
